GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,GNOTES,BK6001,BLG001,BLH001,BLI001,BLI002,BLI003,BLI004,BLI005,BLJ001,BLJ002,BLJ003,BLJ004,BLJ005,BLJ006,BLJ007,BLJ008,BLJ009,BLJ010,BLJ011,BLJ012,BLJ013,BLJ014,BLJ015,BLK001,BLK002,BLK003,BLK004,BLK005,BLK006,BLK007,BLK008,BLK009,BLK010,BLK011,BLK012,BLL001,BLM001,BLM002,BLM003,BLN001,BLN002,BLN003,BLN004,BLN005,BLN006,BLN007,BLN008,BLN009,BLN010,BLN011,BK7001,BK7002,BK7003,BK7004,BK7005,BK7006,BK7007,BK7008,BK7009,BK7010,BK7011,BK8001,BLA001,BLB001,BLB002,BLB003,BLC001,BLD001,BLE001,BLE002,BLE003,BLE004,BLE005,BLE006
"G3900350BD0001","1930","Ohio","39","Cuyahoga","035","BD","0001",,"Tract  BD0001     in Cleveland OH Area",,611,609,493,341,152,116,2,0,36,1,6,6,22,1,4,0,3,1,1,0,27,5,3,31,146,151,124,77,45,21,9,2,2,2,1,611,349,260,2,0,7,10,18,62,118,85,36,8,4,1,2,6,7,49,142,54,0,0,0,0,0,611,536,486,43,7,1,4,0,0,0,1,0,0
"G3900350BD0002","1930","Ohio","39","Cuyahoga","035","BD","0002",,"Tract  BD0002     in Cleveland OH Area",,520,520,359,229,130,161,0,0,34,0,13,16,33,0,7,2,1,5,3,0,35,9,3,27,108,131,106,54,32,30,13,9,8,1,1,520,339,180,1,2,5,5,21,78,127,52,38,6,4,1,0,10,12,44,77,34,0,1,0,0,2,520,493,478,11,4,0,0,0,0,0,0,0,0
"G3900350BD0003","1930","Ohio","39","Cuyahoga","035","BD","0003",,"Tract  BD0003     in Cleveland OH Area",,525,523,284,186,98,239,2,0,21,3,6,24,27,14,56,14,15,5,6,1,35,8,4,12,91,99,95,92,63,36,17,10,6,1,3,525,300,215,10,2,0,4,18,103,112,37,14,2,5,3,3,10,43,75,68,13,1,0,1,0,1,525,495,467,26,2,1,18,0,0,1,0,0,0
"G3900350BE0001","1930","Ohio","39","Cuyahoga","035","BE","0001",,"Tract  BE0001     in Cleveland OH Area",,12,12,10,4,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,4,0,0,0,0,0,2,0,0,12,10,2,0,0,0,0,0,0,0,3,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0
"G3900350BE0002","1930","Ohio","39","Cuyahoga","035","BE","0002",,"Tract  BE0002     in Cleveland OH Area",,804,788,567,277,290,221,16,0,9,2,63,91,9,9,3,2,2,0,4,1,13,4,9,63,184,158,157,101,71,28,20,8,8,2,4,804,566,234,4,3,9,8,40,147,192,66,44,14,23,20,6,13,22,57,87,37,4,1,0,0,7,804,785,769,15,1,1,7,0,0,1,0,0,0
"G3900350BE0003","1930","Ohio","39","Cuyahoga","035","BE","0003",,"Tract  BE0003     in Cleveland OH Area",,628,611,482,317,165,129,17,0,22,0,42,27,10,5,5,2,2,0,0,0,0,11,3,48,167,128,131,68,43,20,10,5,2,3,3,628,383,238,7,1,2,6,20,55,104,84,73,21,9,8,3,13,9,42,118,45,4,0,1,0,3,628,591,560,28,3,3,116,0,0,1,2,0,0
"G3900350CC0001","1930","Ohio","39","Cuyahoga","035","CC","0001",,"Tract  CC0001     in Cleveland OH Area",,649,649,555,326,229,94,0,0,23,1,25,1,7,3,2,1,0,0,2,0,3,13,13,29,158,188,146,82,31,7,5,0,0,1,2,649,485,162,2,0,0,1,12,45,80,85,100,55,92,15,0,5,6,30,43,53,17,7,1,0,0,649,646,643,3,0,0,0,0,0,0,0,0,0
"G3900350CC0002","1930","Ohio","39","Cuyahoga","035","CC","0002",,"Tract  CC0002     in Cleveland OH Area",,620,620,486,248,238,134,0,0,20,1,42,4,5,9,9,2,0,0,5,3,4,9,21,33,134,140,139,74,46,31,13,8,0,2,0,620,453,163,4,1,10,6,18,53,70,35,59,14,14,173,1,10,13,44,54,27,2,4,0,0,8,620,617,614,3,0,1,29,0,0,0,1,0,0
"G3900350CC0003","1930","Ohio","39","Cuyahoga","035","CC","0003",,"Tract  CC0003     in Cleveland OH Area","Includes tracts CC0003 CC0004",712,712,558,337,221,154,0,0,27,5,44,0,14,7,11,5,2,0,4,0,6,16,13,30,186,175,138,93,36,33,8,9,1,0,3,712,508,202,2,2,11,7,23,50,90,55,83,44,31,112,2,4,13,48,79,24,0,2,2,1,27,712,700,689,10,1,0,0,0,0,0,0,0,0
"G3900350CC0005","1930","Ohio","39","Cuyahoga","035","CC","0005",,"Tract  CC0005     in Cleveland OH Area",,193,193,150,79,71,43,0,0,5,0,16,6,2,4,1,1,1,0,2,0,0,0,5,19,42,34,28,31,22,8,3,5,0,0,1,193,143,41,9,2,1,1,3,6,4,1,3,0,0,122,2,0,1,12,7,1,0,0,0,0,18,193,192,191,1,0,0,0,0,0,0,0,0,0
"G3900350CC0006","1930","Ohio","39","Cuyahoga","035","CC","0006",,"Tract  CC0006     in Cleveland OH Area",,174,174,146,92,54,28,0,0,10,1,5,4,0,2,0,1,0,0,0,0,0,2,3,18,32,34,38,24,13,8,4,2,0,0,1,174,118,55,1,0,0,2,3,17,26,30,22,4,8,6,0,5,5,18,18,9,0,0,0,0,0,174,171,168,3,0,0,0,0,0,0,0,0,0
"G3900350CC0007","1930","Ohio","39","Cuyahoga","035","CC","0007",,"Tract  CC0007     in Cleveland OH Area",,88,88,52,25,27,36,0,0,1,0,2,20,1,3,2,0,0,0,0,0,1,2,4,12,20,16,8,13,8,4,2,3,1,1,0,88,63,25,0,2,5,3,8,14,8,2,1,0,0,20,3,2,5,7,6,1,0,0,0,0,1,88,86,84,2,0,0,0,0,0,0,0,0,0
"G3900350CC0008","1930","Ohio","39","Cuyahoga","035","CC","0008",,"Tract  CC0008     in Cleveland OH Area",,928,928,716,418,298,212,0,0,29,2,43,5,23,13,17,9,3,0,13,3,3,18,31,28,189,226,194,137,78,36,22,8,4,5,1,928,702,223,3,2,5,13,37,119,218,127,88,45,39,9,0,6,7,35,104,56,7,2,0,0,6,928,923,918,5,0,0,0,0,0,0,0,0,0
"G3900350CC0009","1930","Ohio","39","Cuyahoga","035","CC","0009",,"Tract  CC0009     in Cleveland OH Area",,45,45,32,15,17,13,0,0,2,0,3,1,0,0,1,0,0,0,0,1,0,0,5,5,9,9,12,6,0,2,1,0,1,0,0,45,36,9,0,0,1,1,3,2,6,3,7,1,0,12,0,2,1,1,0,2,0,0,0,0,3,45,45,45,0,0,0,0,0,0,0,0,0,0
